user_id,content_id,joined_at
1,1,2026-01-05T20:00:00
1,3,2026-01-12T20:00:00
1,4,2026-01-19T20:00:00
1,13,2026-01-26T20:00:00
2,4,2026-01-06T20:00:00
2,1,2026-01-13T20:00:00
2,5,2026-01-20T20:00:00
3,3,2026-01-07T20:00:00
3,13,2026-01-14T20:00:00
3,5,2026-01-21T20:00:00
3,1,2026-01-28T20:00:00
4,6,2026-01-08T20:00:00
4,8,2026-01-15T20:00:00
4,7,2026-01-22T20:00:00
5,7,2026-01-09T20:00:00
5,15,2026-01-16T20:00:00
5,6,2026-01-23T20:00:00
6,8,2026-01-10T20:00:00
6,6,2026-01-17T20:00:00
6,15,2026-01-24T20:00:00
6,7,2026-01-31T20:00:00
7,9,2026-01-11T20:00:00
7,10,2026-01-18T20:00:00
8,10,2026-01-12T20:00:00
8,9,2026-01-19T20:00:00
9,11,2026-01-13T20:00:00
9,12,2026-01-20T20:00:00
9,14,2026-01-27T20:00:00
10,12,2026-01-14T20:00:00
10,14,2026-01-21T20:00:00
10,11,2026-01-28T20:00:00
