content_id,title,genres,overview
1,Interstellar,Sci-Fi|Adventure|Drama,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
2,The Dark Knight,Action|Crime|Drama,Batman raises the stakes in his war on crime with the help of allies against a chaotic new criminal mastermind.
3,Inception,Sci-Fi|Action|Thriller,A thief who steals corporate secrets through dream-sharing technology is given the inverse task of planting an idea.
4,The Matrix,Sci-Fi|Action,A computer hacker learns about the true nature of his reality and his role in the war against its controllers.
5,Arrival,Sci-Fi|Drama|Mystery,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear.
6,La La Land,Musical|Romance|Drama,A jazz pianist and an aspiring actress fall in love in Los Angeles while pursuing their dreams.
7,Pride and Prejudice,Romance|Drama,Sparks fly when spirited Elizabeth Bennet meets proud Mr. Darcy in early 19th century England.
8,Titanic,Romance|Drama,A seventeen-year-old aristocrat falls in love with a poor artist aboard the luxurious ill-fated RMS Titanic.
9,Get Out,Horror|Thriller|Mystery,"A young man visits his girlfriend's family estate, where the sinister truth is uncovered slowly."
10,Hereditary,Horror|Mystery|Drama,A family is haunted by tragedy and disturbing secrets after the death of their secretive grandmother.
11,Whiplash,Drama|Music,A promising young drummer enrolls at a cutthroat music conservatory dominated by an instructor.
12,Parasite,Thriller|Drama|Comedy,Greed and class discrimination threaten the newly formed symbiotic relationship between two families.
13,Mad Max Fury Road,Action|Adventure|Sci-Fi,In a post-apocalyptic wasteland a woman rebels against a tyrannical ruler in search for her homeland.
14,The Grand Budapest Hotel,Comedy|Adventure|Drama,The adventures of a legendary concierge at a famous European hotel and the lobby boy who becomes his friend.
15,Amelie,Comedy|Romance,Amelie is an innocent and naive girl in Paris who decides to change the lives of those around her for the better.
