movieId,title,genres,overview
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,"Каждый ребёнок верит, что когда он оставляет свои игрушки одни, они начинают заниматься своими делами. Долгое время любимцем мальчика Энди был ковбой Вуди, пока на свой День рождения Энди не получил особенный подарок - электронного астрорейнджера Базза Лайтера. Вскоре Вуди начинает понимать, что Энди без ума от новой игрушки, и хочет, чтобы парень не брал Базза с собой. Поэтому, воспользовавшись моментом, бывший любимчик выбрасывает популярного новичка из окна. Чувствуя себя виноватым, ковбой решает вернуть космонавта домой до того, как семья Энди переедет в новый дом."
2,Jumanji (1995),Adventure|Children|Fantasy,"Случайно обнаружив настольную игру со странным названием «Джуманджи» Алан Пэрриш, не зная о её сверхъестественных свойствах, на глазах изумлённой подружки переносится в джунгли. Долгие годы он находится в потустороннем мире, до тех пор, пока двое ни о чем не подозревающих подростков не находят игру и не снимают волшебные чары, освобождая Алана из многолетнего плена. Теперь им предстоит решить нелегкую задачу — победить могущественную силу игры, пройти немыслимые препятствия и одержать победу над силами Магии!"
3,Grumpier Old Men (1995),Comedy|Romance,"Лето пришло в городок Вадасу в Миннесоте и все растаяло. Растаял лед на реке, растаяла даже многолетняя воина между соседями Джоном Густафсоном и Максом Голдманом. После того, как Джон женился на Ариэль, Макс остался один. Пока в городке не появилась жизнерадостная особа.  Она собирается превратить их любимый магазинчик, где они всю жизнь покупали всякие наживки и приманки для рыбной ловли, в итальянский ресторан. Приятели объявили ей войну и начали планомерную кампанию всяческих интриг и сплетен, которые быстро охватили весь городок.  Но они не учли характера Марии, которая вовсе не собирается сдаваться без боя и готовит сокрушительное «контрнаступление»."
4,Waiting to Exhale (1995),Comedy|Drama|Romance,В центре сюжета — судьбы четырех разных афроамериканских женщин и их взаимоотношения с мужчинами.
5,Father of the Bride Part II (1995),Comedy,"Он еще слишком молод, чтобы стать дедушкой, но уже достаточно стар, чтобы заводить второго ребенка. И именно в тот момент, когда муж и отец скорбит об ушедшей молодости, его жена и дочь, как будто сговорившись, вдруг объявляют, что они беременны!  В довершении всего, к ним приезжает экстравагантный устроитель торжеств, который переворачивает их дом вверх дном… и это в то время, когда семья в тишине и покое ждет пополнения."
6,Heat (1995),Action|Crime|Thriller,Нил МакКоли - один из лучших преступников Лос-Анджелеса. Ему противостоит лучший детектив Винсент Ханна. Две сильнейшие команды сходятся друг против друга в смертельной схватке.
7,Sabrina (1995),Comedy|Romance,"В семье Лэраби предстоит важное событие - свадьба младшего брата. Приданное невесты позволит братьям стать монополистами на рынке коммуникаций. Но все эти планы рушатся, когда из Парижа возвращается красавица Сабрина - дочь шофера семьи, ставшая супермоделью."
8,Tom and Huck (1995),Adventure|Children,"От их проделок в ужас приходит вся округа. Кошки и собаки разбегаются, хозяйки запирают окна и двери, малыши плачут. Нет, это не монстры из страшной сказки вышли на улицу города. Просто нам предстоят новые встречи с Томом Сойером и Геком Финном, любимыми героями из романа Марка Твена."
9,Sudden Death (1995),Action,"Во время проведения решающего хоккейного матча кубка Стенли гигантский стадион оказывается в заложниках у группы террористов, возглавляемых бывшим сотрудником службы безопасности. В случае отказа или задержки выполнения их требований (перевод значительной суммы на различные банковские счета) преступники грозятся взорвать здание. На их беду, среди персонала спорткомплекса оказывается мужественный пожарный, а среди зрителей подвергающихся смертельной опасности, — его дети..."
10,GoldenEye (1995),Action|Adventure|Thriller,"Джеймс Бонд отправляется в Россию на поиски террористов, захвативших управление новым секретным оружейным комплексом «Золотой глаз». Разработанное для уничтожения любого компьютерного оборудования, в руках негодяев это оружие превращается в мощнейший инструмент давления на правительства экономически развитых государств. Во время этой чрезвычайно опасной миссии Бонду приходится полетать на вертолёте-невидимке, взорвать бронепоезд, совершить увлекательную поездку на танке по Санкт-Петербургу и, конечно, соблазнить парочку длинноногих красоток."
11,"American President, The (1995)",Comedy|Drama|Romance,"Эндрю Шепард — президент США. Но помимо этого он отец, вдовец и просто человек, ищущий своё счастье. Приближаются новые выборы президента, на которых у него есть все шансы быть переизбранным. Но внезапно в его жизни появляется дерзкая, яркая, бескомпромиссная Сидней Элен Уэйд, и избиратели начинают сомневаться в семейных ценностях главы Белого дома. Теперь Эндрю Шепард должен сделать тяжёлый выбор между личным счастьем и политической карьерой."
